"id","event","deal_value","delivery_text","event_date","face_value","is_active","is_agent_only","is_best_deal","is_eticket","is_instant_delivery","is_low_price","is_money_saver","note","price","quality","quantity","row","section","ticket_id","url"
"1780","7367662","1.9","E-TRANSFER","2026-08-18 03:00:00+03","0.00",True,False,False,True,False,False,True,"xfer","310.00","72.56",4,"HH","Loge 137","4752997194","https://www.tickpick.com/checkout/?listingId=4752997194&quantity=4&listingType=TP&price=310.0&dt=f&dv=1.9&e=True&r=HH"
"1788","7367662","1.72","E-TRANSFER","2026-08-18 03:00:00+03","0.00",True,False,False,True,False,False,True,"xfer","348.00","65.93",6,"MM","Loge 130","4752997531","https://www.tickpick.com/checkout/?listingId=4752997531&quantity=6&listingType=TP&price=348.0&dt=f&dv=1.72&e=True&r=MM"
"1808","7367662","1.41","E-TRANSFER","2026-08-18 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","414.00","53.89",2,"KK","Loge 126","4712158258","https://www.tickpick.com/checkout/?listingId=4712158258&quantity=2&listingType=TP&price=414.0&dt=f&dv=1.41&e=True&r=KK"
"1826","7367662","1.31","E-TRANSFER","2026-08-18 03:00:00+03","0.00",True,False,False,True,False,False,True,"xfer","643.00","50.04",4,"D","FBox 39","4752996668","https://www.tickpick.com/checkout/?listingId=4752996668&quantity=4&listingType=TP&price=643.0&dt=f&dv=1.31&e=True&r=D"
"1858","7367513",NULL,"E-TRANSFER","2026-03-25 02:00:00+02","0.00",True,False,False,True,False,False,False,"Parking only. XFER","184.00","0",6,"GA","PARKING LOT K","4703051354","https://www.tickpick.com/checkout/?listingId=4703051354&quantity=6&listingType=TP&price=184.0&dt=f&e=True&r=GA"
"1893","7367514",NULL,"E-TRANSFER","2026-03-26 02:00:00+02","0.00",True,False,False,True,False,False,False,"XFER","196.00","0",2,"E","6 RESERVE MVP","4700401256","https://www.tickpick.com/checkout/?listingId=4700401256&quantity=2&listingType=TP&price=196.0&dt=f&e=True&r=E"
"1932","7367515","0.76","E-TRANSFER","2026-03-27 02:00:00+02","0.00",False,False,False,True,False,True,True,NULL,"142.00","81.84",4,"G","164 Loge","1278176905","https://www.tickpick.com/checkout/?listingId=1278176905&quantity=4&listingType=M&price=142.0&dt=f&dv=0.76&e=True&r=G"
"1981","7369144","2.8","E-TRANSFER","2026-03-29 02:00:00+02","55.00",True,False,False,True,False,False,True,"Mobile Entry Xfer xfer","199.00","55.13",20,"24","116","4714572335","https://www.tickpick.com/checkout/?listingId=4714572335&quantity=20&listingType=TP&price=199.0&dt=f&dv=2.8&e=True&r=24"
"2013","7369145","2.18","E-TRANSFER","2026-03-30 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","161.00","34.86",2,"32","114","4708765399","https://www.tickpick.com/checkout/?listingId=4708765399&quantity=2&listingType=TP&price=161.0&dt=f&dv=2.18&e=True&r=32"
"2016","7369145","1.56","E-TRANSFER","2026-03-30 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","184.00","25.04",4,"33","133","4708766102","https://www.tickpick.com/checkout/?listingId=4708766102&quantity=4&listingType=TP&price=184.0&dt=f&dv=1.56&e=True&r=33"
"2064","7369147","1.57","E-TRANSFER","2026-03-31 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","76.00","25.24",2,"18","329","4708765781","https://www.tickpick.com/checkout/?listingId=4708765781&quantity=2&listingType=TP&price=76.0&dt=f&dv=1.57&e=True&r=18"
"2082","7369525","1.23","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","119.00","14.3",4,"27","311","4708766468","https://www.tickpick.com/checkout/?listingId=4708766468&quantity=4&listingType=TP&price=119.0&dt=f&dv=1.23&e=True&r=27"
"2085","7369525","1.02","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","122.00","11.85",4,"30","322","4708766388","https://www.tickpick.com/checkout/?listingId=4708766388&quantity=4&listingType=TP&price=122.0&dt=f&dv=1.02&e=True&r=30"
"2088","7369525","2.29","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","132.00","26.77",2,"28","111","4708765372","https://www.tickpick.com/checkout/?listingId=4708765372&quantity=2&listingType=TP&price=132.0&dt=f&dv=2.29&e=True&r=28"
"2092","7369525","1.71","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","138.00","19.91",4,"30","142","4708766202","https://www.tickpick.com/checkout/?listingId=4708766202&quantity=4&listingType=TP&price=138.0&dt=f&dv=1.71&e=True&r=30"
"2096","7369525","2.18","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","167.00","25.46",2,"29","130","4708765530","https://www.tickpick.com/checkout/?listingId=4708765530&quantity=2&listingType=TP&price=167.0&dt=f&dv=2.18&e=True&r=29"
"2102","7369525","1.6","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","201.00","18.68",4,"38","114","4708766163","https://www.tickpick.com/checkout/?listingId=4708766163&quantity=4&listingType=TP&price=201.0&dt=f&dv=1.6&e=True&r=38"
"2107","7369525","1.69","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","247.00","19.7",4,"38","116","4708765864","https://www.tickpick.com/checkout/?listingId=4708765864&quantity=4&listingType=TP&price=247.0&dt=f&dv=1.69&e=True&r=38"
"2113","7369525","1.57","E-TRANSFER","2026-04-01 03:00:00+03","0.00",True,False,False,True,False,False,True,"XFER","76.00","18.37",2,"18","329","4708765782","https://www.tickpick.com/checkout/?listingId=4708765782&quantity=2&listingType=TP&price=76.0&dt=f&dv=1.57&e=True&r=18"
"2120","7369525","3.32","E-TRANSFER","2026-04-01 03:00:00+03","56.15",True,False,False,True,False,False,True,"XFER Mobile Entry Ticket. Must have smart device on hand to enter event.","81.00","38.74",2,"1","206","4730204728","https://www.tickpick.com/checkout/?listingId=4730204728&quantity=2&listingType=TP&price=81.0&dt=f&dv=3.32&e=True&r=1"
