"id","name","url","status"
"50","Montreal Canadiens","https://www.tickpick.com/nhl/montreal-canadiens-tickets/","Done"
"54","New York Rangers","https://www.tickpick.com/nhl/new-york-rangers-tickets/","Done"
"55","Ottawa Senators","https://www.tickpick.com/nhl/ottawa-senators-tickets/","Done"
"53","New York Islanders","https://www.tickpick.com/nhl/new-york-islanders-tickets/","Done"
"387","Ultra Music Festival","https://www.tickpick.com/concerts/ultra-music-festival-tickets/","Done"
"391","CMA Music Festival","https://www.tickpick.com/concerts/cma-music-festival-tickets/","Done"
"390","Buckeye Country Superfest","https://www.tickpick.com/concerts/buckeye-country-superfest-tickets/","Done"
"393","Country Thunder","https://www.tickpick.com/concerts/country-thunder-tickets/","Done"
"395","Newport Folk Festival","https://www.tickpick.com/concerts/newport-folk-festival-tickets/","Done"
"399","Stagecoach Festival","https://www.tickpick.com/concerts/stagecoach-festival-tickets/","Done"
"402","Tortuga Music Festival","https://www.tickpick.com/concerts/tortuga-music-festival-tickets/","Done"
"407","Indiana Fever","https://www.tickpick.com/wnba/indiana-fever-tickets/","Done"
"411","Las Vegas Aces","https://www.tickpick.com/wnba/las-vegas-aces-tickets/","Done"
"413","Minnesota Lynx","https://www.tickpick.com/wnba/minnesota-lynx-tickets/","Done"
"414","Phoenix Mercury","https://www.tickpick.com/wnba/phoenix-mercury-tickets/","Done"
"416","Atlanta United FC","https://www.tickpick.com/mls/atlanta-united-fc-tickets/","Done"
"62","Toronto Maple Leafs","https://www.tickpick.com/nhl/toronto-maple-leafs-tickets/","Done"
"56","Philadelphia Flyers","https://www.tickpick.com/nhl/philadelphia-flyers-tickets/","Done"
"67","Winnipeg Jets","https://www.tickpick.com/nhl/winnipeg-jets-tickets/","Done"
"77","Cleveland Cavaliers","https://www.tickpick.com/nba/cleveland-cavaliers-tickets/","Done"
"65","Vegas Golden Knights","https://www.tickpick.com/nhl/vegas-golden-knights-tickets/","Done"
"74","Brooklyn Nets","https://www.tickpick.com/nba/brooklyn-nets-tickets/","Done"
"76","Chicago Bulls","https://www.tickpick.com/nba/chicago-bulls-tickets/","Done"
"78","Dallas Mavericks","https://www.tickpick.com/nba/dallas-mavericks-tickets/","Done"
"82","Houston Rockets","https://www.tickpick.com/nba/houston-rockets-tickets/","Done"
"80","Detroit Pistons","https://www.tickpick.com/nba/detroit-pistons-tickets/","Done"
"81","Golden State Warriors","https://www.tickpick.com/nba/golden-state-warriors-tickets/","Done"
"79","Denver Nuggets","https://www.tickpick.com/nba/denver-nuggets-tickets/","Done"
"89","Minnesota Timberwolves","https://www.tickpick.com/nba/minnesota-timberwolves-tickets/","Done"
"84","Los Angeles Clippers","https://www.tickpick.com/nba/los-angeles-clippers-tickets/","Done"
"417","CF Montreal","https://www.tickpick.com/mls/cf-montreal-tickets/","Done"
"83","Indiana Pacers","https://www.tickpick.com/nba/indiana-pacers-tickets/","Done"
"85","Los Angeles Lakers","https://www.tickpick.com/nba/los-angeles-lakers-tickets/","Done"
"467","Argentina","https://www.tickpick.com/soccer/argentina-tickets/","Done"
"466","Angel City FC","https://www.tickpick.com/soccer/angel-city-fc-tickets/","Done"
"468","Australia","https://www.tickpick.com/soccer/australia-tickets/","Done"
"469","Campeones Cup","https://www.tickpick.com/soccer/campeones-cup-tickets/","Done"
"471","Chivas Guadalajara","https://www.tickpick.com/soccer/chivas-guadalajara-tickets/","Done"
"470","Canada","https://www.tickpick.com/soccer/canada-tickets/","Done"
"473","Colombia","https://www.tickpick.com/soccer/colombia-tickets/","Done"
"472","Club America","https://www.tickpick.com/soccer/club-america-tickets/","Done"
"474","Deportivo Toluca FC","https://www.tickpick.com/soccer/deportivo-toluca-fc-tickets/","Done"
